SUMLEV,REGION,DIVISION,state,county,Stname,ctyname,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,Births2010,Births2011,Deaths2010,Deaths2011,NATURALINC2010,NATURALINC2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,NETMIG2010,NETMIG2011,RESIDUAL2010,RESIDUAL2011,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,Rbirth2011,Rdeath2011,RNATURALINC2011,RINTERNATIONALMIG2011,RDOMESTICMIG2011,RNETMIG2011
050,2,4,29,029,Missouri,Camden County,44002,44002,44016,43679,14,-337,101,412,116,448,-15,-36,2,3,31,-302,33,-299,-4,-2,774,774,774,9.3962027482,10.217230173,-0.821027425,0.068418952,-6.88750784,-6.819088888
050,2,4,29,031,Missouri,Cape Girardeau County,75674,75674,75873,76632,199,759,225,915,168,648,57,267,8,38,133,452,141,490,1,2,3823,3823,3823,11.99960657,8.4980820301,3.5015245402,0.4983443166,5.9276745025,6.4260188191
050,2,4,29,033,Missouri,Carroll County,9295,9295,9294,9260,-1,-34,29,107,24,137,5,-30,3,9,-8,-12,-5,-3,-1,-1,88,88,88,11.533901046,14.767705077,-3.233804031,0.9701412094,-1.293521613,-0.323380403
050,2,4,29,035,Missouri,Carter County,6265,6265,6297,6365,32,68,14,77,22,101,-8,-24,0,0,40,92,40,92,0,0,40,40,40,12.162375612,15.953245933,-3.790870321,0,14.531669562,14.531669562
050,2,4,29,037,Missouri,Cass County,99478,99478,99736,100052,258,316,309,1251,201,811,108,440,11,25,140,-145,151,-120,-1,-4,1044,1044,1044,12.523274671,8.1186057221,4.4046689491,0.2502652812,-1.451538631,-1.20127335
050,2,4,29,039,Missouri,Cedar County,13982,13982,13999,13948,17,-51,37,155,47,201,-10,-46,0,0,29,-5,29,-5,-2,0,156,156,156,11.092424947,14.384370415,-3.291945468,0,-0.35782016,-0.35782016
050,2,4,29,041,Missouri,Chariton County,7831,7831,7840,7734,9,-106,20,84,14,108,6,-24,0,3,4,-85,4,-82,-1,0,213,213,213,10.787209452,13.869269295,-3.082059843,0.3852574804,-10.91562861,-10.53037113
050,2,4,29,043,Missouri,Christian County,77422,77422,77859,78570,437,711,271,1057,131,521,140,536,4,18,288,162,292,180,5,-5,582,582,582,13.514118226,6.6611689648,6.8529492613,0.2301363558,2.0712272021,2.3013635579
050,2,4,29,045,Missouri,Clark County,7139,7139,7140,7019,1,-121,16,77,6,73,10,4,0,1,-7,-127,-7,-126,-2,1,90,90,90,10.876474327,10.311462674,0.5650116534,0.1412529133,-17.93911999,-17.79786708
050,2,4,29,047,Missouri,Clay County,221939,221939,222686,225161,747,2475,783,3083,365,1459,418,1624,57,144,266,707,323,851,6,0,2646,2646,2646,13.768094907,6.5156180571,7.2524768504,0.6430767651,3.157328284,3.800405049
050,2,4,29,049,Missouri,Clinton County,20743,20743,20747,20789,4,42,53,237,65,224,-12,13,2,6,16,26,18,32,-2,-3,445,445,445,11.411787365,10.785824345,0.62596302,0.2889060092,1.2519260401,1.5408320493
050,2,4,29,051,Missouri,Cole County,75990,75983,76120,76448,137,328,228,912,153,597,75,315,21,80,41,-63,62,17,0,-4,4968,4968,4968,11.955324839,7.8260185622,4.1293062765,1.0487127052,-0.825861255,0.2228514498
050,2,4,29,053,Missouri,Cooper County,17601,17601,17607,17663,6,56,43,192,44,183,-1,9,0,2,8,47,8,49,-1,-2,1533,1533,1533,10.88743975,10.377091012,0.5103487383,0.1134108307,2.6651545223,2.778565353
050,2,4,29,055,Missouri,Crawford County,24696,24696,24636,24800,-60,164,65,278,76,282,-11,-4,1,7,-50,160,-49,167,0,1,332,332,332,11.246864633,11.408690023,-0.16182539,0.2831944332,6.4730156162,6.7562100494
050,2,4,29,057,Missouri,Dade County,7883,7883,7867,7807,-16,-60,18,74,21,112,-3,-38,0,0,-12,-23,-12,-23,-1,1,133,133,133,9.4423886691,14.291182851,-4.848794181,0,-2.934796478,-2.934796478
050,2,4,29,059,Missouri,Dallas County,16777,16777,16759,16749,-18,-10,46,203,50,196,-4,7,3,9,-15,-26,-12,-17,-2,0,199,199,199,12.11650949,11.698698818,0.4178106721,0.5371851498,-1.551868211,-1.014683061
050,2,4,29,061,Missouri,Daviess County,8433,8433,8451,8313,18,-138,30,114,9,87,21,27,0,0,-2,-167,-2,-167,-1,2,152,152,152,13.600572656,10.379384395,3.2211882606,0,-19.92364591,-19.92364591
050,2,4,29,063,Missouri,DeKalb County,12892,12892,12888,12767,-4,-121,26,108,14,91,12,17,4,13,-19,-148,-15,-135,-1,-3,3560,3560,3560,8.4194114208,7.0941336971,1.3252777236,1.013447671,-11.53771195,-10.52426428
050,2,4,29,065,Missouri,Dent County,15657,15657,15689,15676,32,-13,41,186,62,207,-21,-21,0,3,55,7,55,10,-2,-2,202,202,202,11.860353898,13.199426112,-1.339072214,0.1912960306,0.4463574048,0.6376534354
